instrument,market_position,qty,entry_price,exit_price,entry_time,exit_time,profit,cum_net_profit,commission
MES,BUY,1,4152.25,4146.25,2021-06-21 02:35:00,2021-06-21 02:52:51,-30.0,-30.0,0.94
MES,BUY,1,4152.25,4146.25,2021-06-21 02:35:00,2021-06-21 02:52:51,-30.0,-60.0,0.94
MES,BUY,1,4152.0,4146.25,2021-06-21 02:35:00,2021-06-21 02:52:57,-28.75,-88.75,0.94
MES,BUY,1,4152.0,4146.25,2021-06-21 02:35:00,2021-06-21 02:52:57,-28.75,-117.5,0.94
MES,BUY,1,4158.75,4182.75,2021-06-21 03:43:20,2021-06-21 09:54:40,120.0,2.5,0.94
MES,BUY,1,4158.75,4182.75,2021-06-21 03:43:20,2021-06-21 09:54:40,120.0,122.5,0.94
MES,BUY,1,4158.5,4200.5,2021-06-21 03:43:20,2021-06-21 10:37:05,210.0,332.5,0.94
MES,BUY,1,4158.5,4200.5,2021-06-21 03:43:20,2021-06-21 10:37:05,210.0,542.5,0.94
MES,SELL,1,4391.25,4398.75,2021-07-27 09:45:00,2021-07-27 09:50:20,-37.5,505.0,1.04
MES,SELL,1,4391.25,4398.75,2021-07-27 09:45:00,2021-07-27 09:50:20,-37.5,467.5,1.04
MES,SELL,1,4378.5,4384.25,2021-08-02 15:49:40,2021-08-02 18:05:00,-28.75,438.75,1.04
MES,SELL,1,4378.25,4384.25,2021-08-02 15:49:40,2021-08-02 18:05:00,-30.0,408.75,1.04
MES,BUY,1,4461.0,4476.75,2021-08-23 09:33:20,2021-08-23 11:01:50,78.75,487.5,1.04
MES,BUY,1,4461.0,4476.75,2021-08-23 09:33:20,2021-08-23 11:01:50,78.75,566.25,1.04
MES,SELL,1,4521.75,4529.0,2021-09-01 15:38:10,2021-09-02 04:00:25,-36.25,530.0,1.04
MES,SELL,1,4522.25,4529.0,2021-09-01 15:38:10,2021-09-02 04:00:25,-33.75,496.25,1.04
MES,BUY,1,4463.25,4477.25,2021-09-13 02:08:35,2021-09-13 08:45:41,70.0,566.25,1.04
MES,BUY,1,4463.25,4477.25,2021-09-13 02:08:35,2021-09-13 08:45:41,70.0,636.25,1.04
MES,BUY,1,4467.25,4456.75,2021-09-13 16:30:25,2021-09-14 10:36:20,-52.5,583.75,1.04
MES,BUY,1,4467.25,4456.75,2021-09-13 16:30:25,2021-09-14 10:36:20,-52.5,531.25,1.04
MES,SELL,1,4442.25,4428.25,2021-09-14 12:59:05,2021-09-14 14:36:25,70.0,601.25,1.04
MES,SELL,1,4442.5,4428.25,2021-09-14 12:59:05,2021-09-14 14:36:25,71.25,672.5,1.04
MES,BUY,1,4447.5,4442.25,2021-09-15 04:40:55,2021-09-15 06:49:00,-26.25,646.25,1.04
MES,BUY,1,4447.25,4442.25,2021-09-15 04:40:55,2021-09-15 06:49:00,-25.0,621.25,1.04
MES,SELL,1,4441.75,4434.75,2021-09-15 06:49:21,2021-09-15 08:24:50,35.0,656.25,1.04
MES,SELL,1,4441.75,4434.75,2021-09-15 06:49:21,2021-09-15 08:24:50,35.0,691.25,1.04
MES,BUY,1,4477.25,4471.75,2021-09-15 16:45:05,2021-09-15 21:34:40,-27.5,663.75,1.04
MES,BUY,1,4477.0,4471.75,2021-09-15 16:45:05,2021-09-15 21:34:40,-26.25,637.5,1.04
MES,BUY,1,4467.0,4475.0,2021-09-16 14:55:40,2021-09-16 15:08:35,40.0,677.5,1.04
MES,BUY,1,4467.0,4475.0,2021-09-16 14:55:40,2021-09-16 15:08:35,40.0,717.5,1.04
MES,BUY,1,4462.0,4440.5,2021-09-26 20:45:35,2021-09-27 07:55:30,-107.5,610.0,1.04
MES,BUY,1,4462.0,4443.0,2021-09-26 20:45:35,2021-09-27 07:55:37,-95.0,515.0,1.04
