instrument,action,qty,price,time,commission,local_id,order_id
MNQ,BUY,1,14395.75,2021-06-28 09:13:25,0.47,1,5
MNQ,BUY,1,14499.25,2021-06-28 14:52:55,0.47,1,4
MNQ,BUY,1,14501.0,2021-06-28 14:52:55,0.47,2,8
MNQ,BUY,1,14395.75,2021-06-28 14:52:55,0.47,3,5
MNQ,BUY,1,14479.5,2021-06-28 22:11:45,0.47,1,17
MNQ,BUY,1,14479.75,2021-06-28 22:11:45,0.47,2,21
MNQ,BUY,1,14576.75,2021-06-29 18:05:00,0.47,1,30
MNQ,BUY,1,14577.0,2021-06-29 18:05:00,0.47,2,34
MNQ,SELL,1,14596.75,2021-06-29 20:19:05,0.47,3,31
MNQ,SELL,1,14579.0,2021-06-29 21:59:56,0.47,4,36
MNQ,BUY,1,14638.0,2021-07-02 09:02:05,0.47,5,41
MNQ,BUY,1,14636.5,2021-07-02 09:02:05,0.47,6,45
MNQ,SELL,1,14710.0,2021-07-02 15:31:45,0.47,7,42
MNQ,SELL,1,14700.0,2021-07-02 16:57:00,0.47,8,48
MNQ,BUY,1,14737.25,2021-07-06 07:24:25,0.47,1,53
MNQ,BUY,1,14737.75,2021-07-06 07:24:25,0.47,2,57
MNQ,SELL,1,14672.75,2021-07-06 12:09:05,0.47,3,55
MNQ,SELL,1,14672.75,2021-07-06 12:09:05,0.47,4,59
MNQ,BUY,1,14779.5,2021-07-06 15:30:30,0.47,5,61
MNQ,BUY,1,14779.0,2021-07-06 15:30:30,0.47,6,65
MNQ,SELL,1,14763.75,2021-07-06 18:05:00,0.47,7,70
MNQ,SELL,1,14763.5,2021-07-06 18:05:00,0.47,8,71
MNQ,BUY,1,14788.25,2021-07-06 23:00:15,0.47,9,73
MNQ,BUY,1,14788.25,2021-07-06 23:00:15,0.47,10,77
MNQ,SELL,1,14825.0,2021-07-07 03:40:45,0.47,11,74
MNQ,SELL,1,14825.0,2021-07-07 03:40:45,0.47,12,78
MNQ,SELL,1,14825.25,2021-07-07 03:40:52,0.47,13,84
MNQ,BUY,1,14862.25,2021-07-07 07:25:27,0.47,14,85
MNQ,BUY,1,14803.25,2021-07-09 11:39:25,0.47,1,92
MNQ,BUY,1,14804.75,2021-07-09 11:39:25,0.47,2,96
MNQ,SELL,1,14812.75,2021-07-09 16:57:00,0.47,3,99
MNQ,SELL,1,14812.5,2021-07-09 16:57:00,0.47,4,100
MNQ,BUY,1,14850.25,2021-07-12 04:58:00,0.47,1,53
MNQ,BUY,1,14849.5,2021-07-12 04:58:00,0.47,2,57
MNQ,SELL,1,14825.75,2021-07-12 06:10:50,0.47,3,55
MNQ,SELL,1,14825.75,2021-07-12 06:10:50,0.47,4,59
MNQ,BUY,1,14874.5,2021-07-12 08:41:25,0.47,5,61
MNQ,BUY,1,14873.5,2021-07-12 08:41:25,0.47,6,65
MNQ,SELL,1,14848.0,2021-07-12 09:39:06,0.47,7,63
MNQ,SELL,1,14848.0,2021-07-12 09:39:06,0.47,8,67
MNQ,BUY,1,14882.5,2021-07-12 16:05:25,0.47,9,69
MNQ,BUY,1,14882.0,2021-07-12 16:05:25,0.47,10,73
MNQ,SELL,1,14857.5,2021-07-13 02:37:25,0.47,11,71
MNQ,SELL,1,14857.5,2021-07-13 02:37:25,0.47,12,75
MNQ,BUY,1,14920.75,2021-07-13 05:59:00,0.47,1,79
MNQ,BUY,1,14921.0,2021-07-13 05:59:00,0.47,2,83
MNQ,SELL,1,14869.5,2021-07-13 08:30:10,0.47,3,81
MNQ,SELL,1,14869.5,2021-07-13 08:30:10,0.47,4,85
MNQ,BUY,1,14559.25,2021-07-19 16:01:45,0.47,1,53
MNQ,BUY,1,14558.75,2021-07-19 16:01:45,0.47,2,57
MNQ,BUY,1,15006.0,2021-07-23 05:23:40,0.52,1,5
MNQ,BUY,1,15067.75,2021-08-04 12:13:10,0.52,1,9
MNQ,BUY,1,15067.75,2021-08-04 12:13:10,0.52,2,13
MNQ,SELL,1,15047.25,2021-08-04 12:44:40,0.52,3,11
MNQ,SELL,1,15047.25,2021-08-04 12:44:40,0.52,4,15
MNQ,BUY,1,15101.75,2021-08-04 13:22:05,0.52,5,17
MNQ,BUY,1,15101.5,2021-08-04 13:22:05,0.52,6,21
MNQ,SELL,1,15081.5,2021-08-04 13:33:45,0.52,7,19
MNQ,SELL,1,15081.5,2021-08-04 13:33:45,0.52,8,23
MNQ,BUY,1,15112.5,2021-08-05 09:46:00,0.52,9,28
MNQ,BUY,1,15114.75,2021-08-05 09:46:00,0.52,10,32
MNQ,SELL,1,15126.5,2021-08-05 09:48:15,0.52,11,29
MNQ,SELL,1,15119.75,2021-08-05 09:48:50,0.52,12,34
MNQ,BUY,1,15160.25,2021-08-05 11:01:25,0.52,13,36
MNQ,BUY,1,15158.5,2021-08-05 11:01:25,0.52,14,40
MNQ,SELL,1,15149.75,2021-08-05 11:17:15,0.52,15,38
MNQ,SELL,1,15149.75,2021-08-05 11:17:15,0.52,16,42
MNQ,BUY,1,15029.0,2021-08-20 09:47:45,0.52,1,10
MNQ,BUY,1,15030.0,2021-08-20 09:47:45,0.52,2,14
MNQ,SELL,1,15096.5,2021-08-20 10:36:20,0.52,3,11
MNQ,SELL,1,15035.0,2021-08-20 11:40:55,0.52,4,16
MNQ,BUY,1,15292.5,2021-08-23 11:39:10,0.52,1,9
MNQ,BUY,1,15292.25,2021-08-23 11:39:10,0.52,2,13
MNQ,SELL,1,15310.25,2021-08-24 08:39:55,0.52,3,19
MNQ,SELL,1,15310.5,2021-08-24 08:39:55,0.52,4,20
MNQ,BUY,1,15415.75,2021-08-27 10:16:51,0.52,5,25
MNQ,BUY,1,15417.25,2021-08-27 10:16:51,0.52,6,29
MNQ,SELL,1,15379.5,2021-08-27 10:27:35,0.52,7,27
MNQ,SELL,1,15379.5,2021-08-27 10:27:35,0.52,8,31
MNQ,BUY,1,15486.75,2021-08-30 09:33:20,0.52,9,36
MNQ,BUY,1,15489.0,2021-08-30 09:33:20,0.52,10,40
MNQ,SELL,1,15558.75,2021-08-30 10:22:15,0.52,11,37
MNQ,SELL,1,15576.75,2021-08-30 10:31:10,0.52,12,41
MNQ,SELL,1,15576.5,2021-08-30 10:31:49,0.52,13,44
MNQ,SELL,1,15576.5,2021-08-30 10:31:49,0.52,14,48
MNQ,BUY,1,15622.5,2021-08-31 00:51:30,0.52,1,8
MNQ,BUY,1,15622.5,2021-08-31 00:51:30,0.52,2,12
MNQ,SELL,1,15632.75,2021-08-31 05:38:00,0.52,3,10
