instrument,market_position,qty,entry_price,exit_price,entry_time,exit_time,profit,cum_net_profit,commission
MNQ,BUY,1,14576.75,14596.75,2021-06-29 18:05:00,2021-06-29 20:19:05,40.0,40.0,1.04
MNQ,BUY,1,14577.0,14579.0,2021-06-29 18:05:00,2021-06-29 21:59:56,4.0,44.0,1.04
MNQ,BUY,1,14638.0,14710.0,2021-07-02 09:02:05,2021-07-02 15:31:45,144.0,188.0,1.04
MNQ,BUY,1,14636.5,14700.0,2021-07-02 09:02:05,2021-07-02 16:57:00,127.0,315.0,1.04
MNQ,BUY,1,14737.25,14672.75,2021-07-06 07:24:25,2021-07-06 12:09:05,-129.0,186.0,1.04
MNQ,BUY,1,14737.75,14672.75,2021-07-06 07:24:25,2021-07-06 12:09:05,-130.0,56.0,1.04
MNQ,BUY,1,14779.5,14763.75,2021-07-06 15:30:30,2021-07-06 18:05:00,-31.5,24.5,1.04
MNQ,BUY,1,14779.0,14763.5,2021-07-06 15:30:30,2021-07-06 18:05:00,-31.0,-6.5,1.04
MNQ,BUY,1,14788.25,14825.0,2021-07-06 23:00:15,2021-07-07 03:40:45,73.5,67.0,1.04
MNQ,BUY,1,14788.25,14825.0,2021-07-06 23:00:15,2021-07-07 03:40:45,73.5,140.5,1.04
MNQ,BUY,1,14788.25,14825.0,2021-07-06 23:00:15,2021-07-07 03:40:45,73.5,140.5,1.04
MNQ,SELL,1,14825.25,14862.25,2021-07-07 03:40:52,2021-07-07 07:25:27,-74.0,66.5,1.04
MNQ,BUY,1,14803.25,14812.75,2021-07-09 11:39:25,2021-07-09 16:57:00,19.0,159.0,1.04
MNQ,BUY,1,14804.75,14812.5,2021-07-09 11:39:25,2021-07-09 16:57:00,15.5,174.5,1.04
MNQ,BUY,1,14850.25,14825.75,2021-07-12 04:58:00,2021-07-12 06:10:50,-49.0,125.5,1.04
MNQ,BUY,1,14849.5,14825.75,2021-07-12 04:58:00,2021-07-12 06:10:50,-47.5,78.0,1.04
MNQ,BUY,1,14874.5,14848.0,2021-07-12 08:41:25,2021-07-12 09:39:06,-53.0,25.0,1.04
MNQ,BUY,1,14873.5,14848.0,2021-07-12 08:41:25,2021-07-12 09:39:06,-51.0,-26.0,1.04
MNQ,BUY,1,14882.5,14857.5,2021-07-12 16:05:25,2021-07-13 02:37:25,-50.0,-76.0,1.04
MNQ,BUY,1,14882.0,14857.5,2021-07-12 16:05:25,2021-07-13 02:37:25,-49.0,-125.0,1.04
MNQ,BUY,1,14920.75,14869.5,2021-07-13 05:59:00,2021-07-13 08:30:10,-102.5,-227.5,1.04
MNQ,BUY,1,14921.0,14869.5,2021-07-13 05:59:00,2021-07-13 08:30:10,-103.0,-330.5,1.04
MNQ,BUY,1,14559.25,14587.25,2021-07-19 16:01:45,2021-07-19 19:12:58,56.0,-47.0,1.04
MNQ,BUY,1,14558.75,14587.25,2021-07-19 16:01:45,2021-07-19 19:12:58,57.0,10.0,1.04
MNQ,BUY,1,15067.75,15047.25,2021-08-04 12:13:10,2021-08-04 12:44:40,-41.0,-258.5,1.04
MNQ,BUY,1,15067.75,15047.25,2021-08-04 12:13:10,2021-08-04 12:44:40,-41.0,-299.5,1.04
MNQ,BUY,1,15101.75,15081.5,2021-08-04 13:22:05,2021-08-04 13:33:45,-40.5,-340.0,1.04
MNQ,BUY,1,15101.5,15081.5,2021-08-04 13:22:05,2021-08-04 13:33:45,-40.0,-380.0,1.04
MNQ,BUY,1,15112.5,15126.5,2021-08-05 09:46:00,2021-08-05 09:48:15,28.0,-352.0,1.04
MNQ,BUY,1,15114.75,15119.75,2021-08-05 09:46:00,2021-08-05 09:48:50,10.0,-342.0,1.04
MNQ,BUY,1,15160.25,15149.75,2021-08-05 11:01:25,2021-08-05 11:17:15,-21.0,-363.0,1.04
MNQ,BUY,1,15158.5,15149.75,2021-08-05 11:01:25,2021-08-05 11:17:15,-17.5,-380.5,1.04
MNQ,BUY,1,15029.0,15096.5,2021-08-20 09:47:45,2021-08-20 10:36:20,135.0,-245.5,1.04
MNQ,BUY,1,15030.0,15035.0,2021-08-20 09:47:45,2021-08-20 11:40:55,10.0,-235.5,1.04
MNQ,BUY,1,15292.5,15310.25,2021-08-23 11:39:10,2021-08-24 08:39:55,35.5,-200.0,1.04
MNQ,BUY,1,15292.25,15310.5,2021-08-23 11:39:10,2021-08-24 08:39:55,36.5,-163.5,1.04
MNQ,BUY,1,15415.75,15379.5,2021-08-27 10:16:51,2021-08-27 10:27:35,-72.5,-236.0,1.04
MNQ,BUY,1,15417.25,15379.5,2021-08-27 10:16:51,2021-08-27 10:27:35,-75.5,-311.5,1.04
MNQ,BUY,1,15486.75,15558.75,2021-08-30 09:33:20,2021-08-30 10:22:15,144.0,-167.5,1.04
MNQ,BUY,1,15489.0,15576.75,2021-08-30 09:33:20,2021-08-30 10:31:10,175.5,8.0,1.04
MNQ,BUY,1,15622.5,15632.75,2021-08-31 00:51:30,2021-08-31 05:38:00,20.5,28.5,1.04
MNQ,BUY,1,15622.5,15580.25,2021-08-31 00:51:30,2021-08-31 06:51:55,-84.5,-56.0,1.04
