instrument,action,qty,price,time,commission,local_id,order_id
MNQ,SELL,1,14560.5,2021-07-01 05:06:10,0.47,1,5
MNQ,SELL,1,14560.75,2021-07-01 05:06:10,0.47,2,9
MNQ,BUY,1,14547.0,2021-07-01 05:09:50,0.47,3,6
MNQ,BUY,1,14538.0,2021-07-01 05:18:10,0.47,4,10
MNQ,SELL,1,14511.5,2021-07-01 10:20:10,0.47,5,13
MNQ,SELL,1,14510.0,2021-07-01 10:20:10,0.47,6,17
MNQ,BUY,1,14525.0,2021-07-01 10:22:40,0.47,7,15
MNQ,BUY,1,14525.0,2021-07-01 10:22:40,0.47,8,19
MNQ,SELL,1,14495.0,2021-07-01 11:11:25,0.47,9,21
MNQ,SELL,1,14495.5,2021-07-01 11:11:25,0.47,10,25
MNQ,BUY,1,14483.0,2021-07-01 11:21:40,0.47,11,28
MNQ,BUY,1,14484.5,2021-07-01 11:21:40,0.47,12,29
MNQ,SELL,1,14664.75,2021-07-06 12:09:30,0.47,1,34
MNQ,SELL,1,14667.5,2021-07-06 12:09:30,0.47,2,38
MNQ,BUY,1,14645.25,2021-07-06 12:18:50,0.47,3,35
MNQ,BUY,1,14645.25,2021-07-06 12:18:50,0.47,4,39
MNQ,SELL,1,14686.0,2021-07-08 03:45:20,0.47,1,44
MNQ,SELL,1,14684.75,2021-07-08 03:45:20,0.47,2,48
MNQ,BUY,1,14683.75,2021-07-08 04:14:00,0.47,3,46
MNQ,BUY,1,14683.75,2021-07-08 04:14:05,0.47,4,46
MNQ,SELL,1,14644.75,2021-07-08 04:27:20,0.47,5,52
MNQ,SELL,1,14647.75,2021-07-08 04:27:20,0.47,6,56
MNQ,BUY,1,14639.5,2021-07-08 05:31:25,0.47,7,54
MNQ,BUY,1,14639.5,2021-07-08 05:31:30,0.47,8,54
MNQ,SELL,1,14853.75,2021-07-13 08:30:15,0.47,1,33
MNQ,SELL,1,14865.5,2021-07-13 08:30:15,0.47,2,37
MNQ,BUY,1,14872.5,2021-07-13 08:30:15,0.47,3,35
MNQ,BUY,1,14856.0,2021-07-13 08:30:15,0.47,4,40
MNQ,SELL,1,14842.75,2021-07-13 08:30:34,0.47,5,42
MNQ,SELL,1,14843.0,2021-07-13 08:30:34,0.47,6,46
