instrument,market_position,qty,entry_price,exit_price,entry_time,exit_time,profit,cum_net_profit,commission
MNQ,SELL,1,14560.5,14547.0,2021-07-01 05:06:10,2021-07-01 05:09:50,27.0,27.0,1.04
MNQ,SELL,1,14560.75,14538.0,2021-07-01 05:06:10,2021-07-01 05:18:10,45.5,72.5,1.04
MNQ,SELL,1,14511.5,14525.0,2021-07-01 10:20:10,2021-07-01 10:22:40,-27.0,45.5,1.04
MNQ,SELL,1,14510.0,14525.0,2021-07-01 10:20:10,2021-07-01 10:22:40,-30.0,15.5,1.04
MNQ,SELL,1,14495.0,14483.0,2021-07-01 11:11:25,2021-07-01 11:21:40,24.0,39.5,1.04
MNQ,SELL,1,14495.5,14484.5,2021-07-01 11:11:25,2021-07-01 11:21:40,22.0,61.5,1.04
MNQ,SELL,1,14664.75,14645.25,2021-07-06 12:09:30,2021-07-06 12:18:50,39.0,100.5,1.04
MNQ,SELL,1,14667.5,14645.25,2021-07-06 12:09:30,2021-07-06 12:18:50,44.5,145.0,1.04
MNQ,SELL,1,14686.0,14683.75,2021-07-08 03:45:20,2021-07-08 04:14:00,4.5,149.5,1.04
MNQ,SELL,1,14684.75,14683.75,2021-07-08 03:45:20,2021-07-08 04:14:05,2.0,151.5,1.04
MNQ,SELL,1,14644.75,14639.5,2021-07-08 04:27:20,2021-07-08 05:31:25,10.5,162.0,1.04
MNQ,SELL,1,14647.75,14639.5,2021-07-08 04:27:20,2021-07-08 05:31:30,16.5,178.5,1.04
MNQ,SELL,1,14853.75,14872.5,2021-07-13 08:30:15,2021-07-13 08:30:15,-37.5,141.0,1.04
MNQ,SELL,1,14865.5,14856.0,2021-07-13 08:30:15,2021-07-13 08:30:15,19.0,160.0,1.04
MNQ,SELL,1,14842.75,14853.75,2021-07-13 08:30:34,2021-07-13 08:30:34,-22.0,138.0,1.04
MNQ,SELL,1,14843.0,14857.0,2021-07-13 08:30:34,2021-07-13 08:30:47,-28.0,110.0,1.04
MNQ,SELL,1,14797.0,14811.25,2021-07-13 09:01:40,2021-07-13 09:02:45,-28.5,81.5,1.04
MNQ,SELL,1,14796.75,14811.25,2021-07-13 09:01:40,2021-07-13 09:02:45,-29.0,52.5,1.04
MNQ,SELL,1,14769.5,14764.25,2021-07-16 10:21:45,2021-07-16 10:27:30,10.5,63.0,1.04
MNQ,SELL,1,14769.75,14756.25,2021-07-16 10:21:45,2021-07-16 10:59:15,27.0,90.0,1.04
MNQ,SELL,1,14684.25,14705.75,2021-07-16 15:05:00,2021-07-16 15:16:15,-43.0,47.0,1.04
MNQ,SELL,1,14686.0,14705.5,2021-07-16 15:05:00,2021-07-16 15:16:15,-39.0,8.0,1.04
MNQ,SELL,1,14577.25,14567.75,2021-07-19 07:17:30,2021-07-19 07:27:50,19.0,27.0,1.04
MNQ,SELL,1,14575.25,14529.75,2021-07-19 07:17:30,2021-07-19 07:44:25,91.0,118.0,1.04
MNQ,SELL,1,14475.25,14465.75,2021-07-19 09:57:02,2021-07-19 10:01:12,19.0,137.0,1.04
MNQ,SELL,1,14482.75,14503.75,2021-07-19 09:57:06,2021-07-19 10:06:17,-42.0,95.0,1.04
